time,frametime,MsDeltaBetweenFrames,LoadMarker,TestMarker
50.9010863,14.5452,0.153,0,0.1
50.9162889,15.2026,0.6574,0,0.1
50.9316616,15.3727,0.1701,0,0.1
50.9466315,14.9699,0.4028,0,0.1
50.9615893,14.9578,0.0121,0,0.1
50.9764914,14.9021,0.0557,0,0.1
50.9918384,15.347,0.4449,0,0.1
51.0070472,15.2088,0.1382,0,0.1
51.0222487,15.2015,0.0073,0,0.1
51.0375112,15.2625,0.061,0,0.1
51.0530504,15.5392,0.2767,0,0.1
51.0675478,14.4974,1.0418,0,0.1
51.0822159,14.6681,0.1707,0,0.1
51.0971274,14.9115,0.2434,0,0.1
51.112263,15.1356,0.2241,0,0.1
51.1268943,14.6313,0.5043,0,0.1
51.1420246,15.1303,0.499,0,0.1
51.156984,14.9594,0.1709,0,0.1
51.1719711,14.9871,0.0277,0,0.1
51.1864791,14.508,0.4791,0,0.1
51.2015658,15.0867,0.5787,0,0.1
51.2161088,14.543,0.5437,0,0.1
51.2307931,14.6843,0.1413,0,0.1
51.2456446,14.8515,0.1672,0,0.1
51.2603223,14.6777,0.1738,0,0.1
51.2750394,14.7171,0.0394,0,0.1
51.2894873,14.4479,0.2692,0,0.1
51.3047434,15.2561,0.8082,0,0.1
51.3196526,14.9092,0.3469,0,0.1
51.3343013,14.6487,0.2605,0,0.1
51.3486759,14.3746,0.2741,0,0.1
51.3634927,14.8168,0.4422,0,0.1
51.3779512,14.4585,0.3583,0,0.1
51.3930107,15.0595,0.601,0,0.1
51.4077537,14.743,0.3165,0,0.1
51.4220952,14.3415,0.4015,0,0.1
51.4371327,15.0375,0.696,0,0.1
51.4519595,14.8268,0.2107,0,0.1
51.4669092,14.9497,0.1229,0,0.1
51.4818142,14.905,0.0447,0,0.1
51.4968625,15.0483,0.1433,0,0.1
51.5115999,14.7374,0.3109,0,0.1
51.5265984,14.9985,0.2611,0,0.1
51.5415445,14.9461,0.0524,0,0.1
51.5564698,14.9253,0.0208,0,0.1
51.5711475,14.6777,0.2476,0,0.1
51.5861549,15.0074,0.3297,0,0.1
51.6005401,14.3852,0.6222,0,0.1
51.6154925,14.9524,0.5672,0,0.1
51.6305182,15.0257,0.0733,0,0.1
51.6473337,16.8155,1.7898,0,0.1
51.6611131,13.7794,3.0361,0,0.1
51.6751127,13.9996,0.2202,0,0.1
51.6893538,14.2411,0.2415,0,0.1
