timestamp,hw.md.RenderBasic.SYSMEM_TRANSACTION_READ,hw.md.RenderBasic.SYSMEM_TRANSACTION_WRITE,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_READ,hw.md.RenderBasic.HOST_TO_GPUMEM_TRANSACTION_WRITE,hw.raw.RenderBasic.GPU_MEMORY_BYTE_READ,hw.raw.RenderBasic.GPU_TIME,hw.gpu.symbols.GpuTimestampFrequency,hw.raw.RenderBasic.GPU_MEMORY_BYTE_WRITE,hw.gal.d_gpu_busy,hw.gal.d_gti_busy,hw.gal.d_crystal_clock,hw.gal.d_gpu_sq_fifo_full,hw.gal.d_gpu_sq_fifo_stalled,hw.gal.d_gpu_ticks,hw.gal.d_unslice_freq_req,hw.gal.d_slice_freq_req,hw.gal.d_unslice_freq,hw.gal.d_slice_freq,hw.gal.ia_freq,hw.gal.ring_freq,hw.gal.qclk_ratio,hw.gal.qclk_base,hw.gal.gt_perf_limit,hw.gal.gtlimit_prochot,hw.gal.gtlimit_thermal,hw.gal.gtlimit_ratl,hw.gal.gtlimit_vr_thermalert,hw.gal.gtlimit_vr_tdc,hw.gal.gtlimit_other,hw.gal.gtlimit_max_vid,hw.gal.gtlimit_pbm_pl1,hw.gal.gtlimit_pbm_pl2,hw.gal.gtlimit_ineff_op,hw.gal.gtlimit_psys_crit,hw.gal.d_pkg_joules,hw.gal.d_pkg_temp,hw.gal.rc6_res,hw.gal.pg_req,hw.gal.pg_status,hw.gal.ia_pstate_limit,hw.md.RenderBasic.GPU_MEMORY_BYTE_READ_RATE,"hw.md.RenderBasic.GPU_MEMORY_BYTE_WRITE_RATE
"
7331485,0,2633.311389,0,0,0,19230926.78,19200000,0,839876092,113172158,2147483668,607465401,85825450,3310449785,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486111,64,55073,40,2,255,0,0
7440682,0,2637.435094,54.946564,54.946564,5174.134821,19230821.36,19200000,0,839876092,113172158,2147483668,607465405,85825450,3354135503,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486111,64,55073,40,2,255,0.00001,0
7550831,2678.190451,7862.077731,317.751409,71621.16769,19279230.86,19230769.23,19200000,22679034.76,839879566,113174725,2147483668,607499267,85825450,3398192687,400,400,0,0,51,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486239,64,55073,40,2,255,0.038497,0.045285
7660172,475.576408,4627.724275,210.351103,50767.78153,6207186.691,19230874.05,19200000,10341601.05,839880767,113175590,2147483668,607510713,85825450,3441915548,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486239,64,55073,40,2,255,0.012394,0.02065
7769553,0,2632.998418,63.996489,15935.12585,42246.82532,19230926.76,19200000,509412.0551,839880767,113175590,2147483668,607510714,85825450,3485661438,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645486815,64,55073,40,2,255,0.000084,0.001017
7878907,0,2633.648518,0,0,0,19230846.61,19200000,0,839880908,113175731,2147483668,607510888,85825450,3529401829,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645488607,64,55073,40,2,255,0,0
7988390,0,2639.67922,73.070705,73.070705,14084.3784,19230921.7,19200000,190148.2422,839880908,113175731,2147483668,607510893,85825450,3573193144,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645488607,64,55073,40,2,255,0.000028,0.00038
8097801,0,2632.276462,18.279698,18.279698,0,19230881.72,19200000,0,839880908,113175731,2147483668,607510899,85825450,3616954419,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645488607,64,55073,40,2,255,0,0
8207115,0,2634.612218,73.183673,73.183673,7034.78054,19230921.93,19200000,2341.877527,839882119,113176602,2147483668,607521875,85825450,3660678405,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645488607,64,55073,40,2,255,0.000014,0.000005
8317297,444.718738,4574.249877,208.74553,35931.45886,5585739.958,19230845.33,19200000,9532255.722,839882119,113176602,2147483668,607521877,85825450,3704747859,400,400,0,0,52,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,1645488671,64,55073,40,2,255,0.011154,0.019034
