Delta_Time,Time,Running GPU Ticks,GT Effective Freq,GPU_Busy,GTI_Busy,GT Unslice Request Freq,GT Slice Request Freq,GT Slice Freq,GT Unslice Freq,CrystalClock,IA Freq,Ring Freq,SA Freq,PKG Reported Power,PKG Reported Temp,GT Temp,GTI Rd BW,GTI Wr BW,GTI Total BW,Perf Limited,GT RC6,PCIe SysFromDev Rd BW,PCIe SysToDev Wr BW,PCIe DevFromSys Rd BW,PCIe DevToSys Wr BW,PCIe Total BW,LoadMarker,TestMarker
0.109389,7.11292,3266705332,399.9960782,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0.003971,0.008026,0.011997,0,0,7.60588E-06,0.000968287,1.28715E-05,0.000227006,0.001215771,0,0
0.109368,7.222288,3310449785,399.974883,0,0,6666.8,6666.8,0,0,2147483668,5100,0,0,0,64,NO CALC,0,0,0,0,0,0,0,0,0.000168532,0.000168532,0,0
0.109197,7.331485,3354135503,400.0633534,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.00001,0,0.00001,0,0,3.51658E-06,3.51658E-06,0,0.000168796,0.000175829,0,0
0.110149,7.441634,3398192687,399.9780661,2.627206784,1.941289526,6666.8,6666.8,0,0,2147483668,5100,0,0,0.070926654,64,NO CALC,0.038497,0.045285,0.083782,0,0,2.03361E-05,0.004583755,0.000171404,0.000503173,0.005278668,0,0
0.109341,7.550975,3441915548,399.8761764,0.914966024,0.658988851,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.012394,0.02065,0.033044,0,0,1.34625E-05,0.003249138,3.04369E-05,0.000296174,0.003589212,0,0
0.109381,7.660356,3485661438,399.9404833,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.32141094,64,NO CALC,0.000084,0.001017,0.001101,0,0,4.09578E-06,0.001019848,0,0.000168512,0.001192456,0,0
0.109354,7.76971,3529401829,399.9889442,0.107406222,0.107406222,6666.8,6666.8,0,0,2147483668,5200,0,0,1.000192037,64,NO CALC,0,0,0,0,0,0,0,0,0.000168554,0.000168554,0,0
0.109483,7.879193,3573193144,399.9827827,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.000028,0.00038,0.000408,0,0,4.67653E-06,4.67653E-06,0,0.000168939,0.000178293,0,0
0.109411,7.988604,3616954419,399.971438,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0,0,0,0,0,1.1699E-06,1.1699E-06,0,0.000168466,0.000170805,0,0
0.109314,8.097918,3660678405,399.9852352,0.922812266,0.663723768,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.000014,0.000005,0.000019,0,0,4.68376E-06,4.68376E-06,0,0.000168615,0.000177983,0,0
0.110182,8.2081,3704747859,399.9696321,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035452706,64,NO CALC,0.011154,0.019034,0.030188,0,0,1.33597E-05,0.002299613,2.8462E-05,0.000292752,0.002634187,0,0
0.108576,8.316676,3748178759,400.0046051,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0,0,0,0,0,0,0,0,0.000168582,0.000168582,0,0
0.109341,8.426017,3791910734,399.9595303,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.000012,0.000006,0.000018,0,0,5.85325E-06,5.85325E-06,0,0.000168574,0.00018028,0,0
0.109222,8.535239,3835611482,400.1093919,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0,0,0,0,0,1.17193E-06,1.17193E-06,0,0.000168757,0.000171101,0,0
0.109448,8.644687,3879374789,399.8547895,0.887433302,0.666716614,6666.8,6666.8,0,0,2147483668,5200,0,0,0.285523719,64,NO CALC,0,0,0,0,0,0,0,0,0.000168993,0.000168993,0,0
0.109361,8.754048,3923116033,399.9711414,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.005273,0.008512,0.013785,0,0,6.4374E-06,0.001077971,1.346E-05,0.000227064,0.001324933,0,0
0.109303,8.863351,3966834884,399.9785093,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,64,NO CALC,0.000005,0,0.000005,0,0,2.34211E-06,2.34211E-06,0,0.000168632,0.000173316,0,0
0.109364,8.972715,4010577431,399.972084,0.107396401,0.107396401,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0.000027,0.000434,0.000461,0,0,1.1704E-06,1.1704E-06,0,0.000168538,0.000170879,0,0
0.109337,9.082052,4054320759,400.0779974,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0,0,0,0,0,0,0,0,0.00016858,0.00016858,0,0
0.109398,9.19145,4098068233,399.8928134,0.893168979,0.660168376,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035706777,64,NO CALC,0,0,0,0,0,0,0,0,0.000168486,0.000168486,0,0
0.109495,9.300945,4141863455,399.974629,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0.008855,0.015666,0.024521,0,0,1.169E-05,0.001991397,2.45491E-05,0.000276469,0.002304105,0,0
0.109358,9.410303,4185604606,399.9812634,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.071439675,63,NO CALC,0.000005,0,0.000005,0,0,2.34094E-06,2.34094E-06,0,0.000168547,0.000173229,0,0
0.109338,9.519641,4229337185,399.9760285,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0,0.000005,0.000005,0,0,1.17068E-06,1.17068E-06,0,0.000168578,0.00017092,0,0
0.109361,9.629002,4273078899,399.9754391,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.821533728,63,NO CALC,0,0,0,0,0,0,0,0,0.000168543,0.000168543,0,0
0.109377,9.738379,21861410,399.9909213,0.88648619,0.666387815,6666.8,6666.8,0,0,2147483668,5200,0,0,0.749986286,63,NO CALC,0,0,0,0,0,0,0,0,0.000168518,0.000168518,0,0
0.109347,9.847726,65597042,399.971028,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035723431,63,NO CALC,0.010556,0.018539,0.029095,0,0,1.22911E-05,0.002354633,2.98499E-05,0.000296158,0.002692932,0,0
0.109469,9.957195,109382564,399.9810175,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035683618,63,NO CALC,0.000008,0.000003,0.000011,0,0,2.9232E-06,2.9232E-06,0,0.000168961,0.000174807,0,0
0.109159,10.066354,153082832,400.3359137,0.107598091,0.107598091,6666.8,6666.8,0,0,2147483668,5200,0,0,0.045290335,63,NO CALC,0.000028,0.000375,0.000403,0,0,0,0,0,0.000168855,0.000168855,0,0
0.109364,10.175718,196777236,399.5318752,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035717878,63,NO CALC,0,0,0,0,0,0,0,0,0.000168538,0.000168538,0,0
0.109372,10.28509,240525809,399.9979245,0.896427788,0.663371795,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0.007486,0.014667,0.022153,0,0,7.60707E-06,0.000991844,2.45767E-05,0.000276195,0.001300223,0,0
0.109349,10.394439,284262257,399.9711749,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035722778,63,NO CALC,0.000106,0.001189,0.001295,0,0,7.60867E-06,0.001185781,0,0.000168561,0.001361951,0,0
0.110337,10.504776,328395832,399.9888976,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035402902,63,NO CALC,0.000005,0,0.000005,0,0,3.48025E-06,3.48025E-06,0,0.000168792,0.000175752,0,0
0.108394,10.61317,371749872,399.9671569,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,1.153200362,63,NO CALC,0,0,0,0,0,0,0,0,0.000168865,0.000168865,0,0
0.109358,10.722528,415490763,399.9788859,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,1.000155453,63,NO CALC,0,0,0,0,0,0,0,0,0.000168547,0.000168547,0,0
0.109482,10.83201,459283380,399.9983285,0.888679418,0.673357264,6666.8,6666.8,0,0,2147483668,5200,0,0,0.749267003,63,NO CALC,0,0,0,0,0,0,0,0,0.000168941,0.000168941,0,0
0.10936,10.94137,503023688,399.9662399,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035719184,63,NO CALC,0.008723,0.015182,0.023905,0,0,1.11192E-05,0.001923043,2.51646E-05,0.00027447,0.002233797,0,0
0.109369,11.050739,546768766,399.9769404,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.035716245,63,NO CALC,0.000006,0.000006,0.000012,0,0,2.3407E-06,2.3407E-06,0,0.00016853,0.000173212,0,0
0.109363,11.160102,590511272,399.9753664,0.107397383,0.107397383,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0.000019,0.000375,0.000394,0,0,0,0,0,0.00016854,0.00016854,0,0
0.109358,11.26946,634252632,399.9831745,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0,0,0,0,0,0,0,0,0.000168547,0.000168547,0,0
0.109673,11.379133,678120338,399.9863777,0.152665652,0.159501427,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0,0,0,0,0,0,0,0,0.000168647,0.000168647,0,0
0.109043,11.488176,721787285,400.4562145,0.737181662,0.498075071,6666.8,6666.8,0,0,2147483668,5200,0,0,0.394053263,63,NO CALC,0.008133,0.015656,0.023789,0,0,9.97772E-06,0.001987913,2.40639E-05,0.000275854,0.002297809,0,0
0.10927,11.597446,765440411,399.4978128,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,1.251201153,63,NO CALC,0,0,0,0,0,0,0,0,0.000168683,0.000168683,0,0
0.10945,11.706896,809217269,399.9712928,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,1.106384194,63,NO CALC,0,0,0,0,0,0,0,0,0.00016899,0.00016899,0,0
0.109263,11.816159,852919829,399.9758381,0,0,6666.8,6666.8,0,0,2147483668,5200,0,0,0.822270576,63,NO CALC,0,0,0,0,0,0,0,0,0.000168694,0.000168694,0,0
0.10961,11.925769,896763078,399.9931484,0.06155734,0.067637077,6666.8,6666.8,0,0,2147483668,5200,0,0,1.033493751,63,NO CALC,0,0,0,0,0,0,0,0,0.000168744,0.000168744,0,0
0.109153,12.034922,940423849,399.9960697,0.831069233,0.605177137,6666.8,6666.8,0,0,2147483668,5200,0,0,0,63,NO CALC,0.011517,0.018539,0.030056,0,0,1.52447E-05,0.002351195,3.04893E-05,0.000296098,0.002693027,0,0
